pas,valeur
80,249.070229
80,240.843606
80,223.014518
80,223.384357
80,229.804122
80,224.29859
80,206.310656
80,206.506136
80,204.459701
80,202.954556
80,205.476596
80,176.790547
80,199.959748
80,183.604895
80,147.019948
80,185.297546
80,145.622618
80,167.74096
80,164.845108
80,163.705073
80,8.597404
80,69.966499
85,470.965668
85,460.775827
85,457.943738
85,475.513746
85,455.615897
85,456.400437
85,477.327428
85,466.506431
85,466.506431
85,466.506431
85,463.297428
85,461.409025
85,448.773798
85,447.378555
85,428.457973
85,422.065944
85,402.646568
85,382.883525
85,354.196791
85,345.159109
85,336.121552
85,331.532887
85,326.898226
85,293.233947
85,273.0115
85,273.779624
85,265.051663
85,252.285596
85,252.663625
85,253.571854
85,248.641135
85,230.300983
85,230.471823
85,227.949652
85,226.029037
85,223.886519
85,199.187018
85,216.938457
85,201.424761
85,168.399406
85,202.825198
85,166.514544
85,184.789509
85,179.895586
85,178.867279
85,85.071414
85,87.078073
85,78.545784
85,75.793725
85,122.483285
90,487.069695
90,477.886327
90,477.299223
90,471.603033
90,478.05612
90,471.860663
90,486.19171
90,477.448378
90,477.448378
90,481.163949
90,478.033509
90,478.846886
90,473.020017
90,478.017931
90,459.771792
90,453.597685
90,434.807955
90,415.63274
90,382.302191
90,373.488093
90,364.676255
90,360.19712
90,355.669419
90,322.658866
90,297.628155
90,298.372215
90,289.199873
90,281.615413
90,281.99836
90,277.356401
90,273.038945
90,254.485631
90,254.630124
90,251.64662
90,249.320486
90,242.467817
90,222.025051
90,234.126144
90,219.62659
90,190.635982
90,220.835202
90,188.266022
90,202.803996
90,197.314525
90,196.399642
90,163.997281
90,163.708528
90,157.763137
90,150.445938
90,191.637728
90,76.253348
90,131.908398
90,133.232868
90,81.18989
90,123.317308
95,505.272911
95,493.71392
95,523.284948
95,504.690745
95,510.280465
95,502.599848
95,497.174222
95,495.330096
95,495.330096
95,489.062575
95,520.175034
95,519.795055
95,489.634094
95,507.477613
95,489.946584
95,484.00612
95,465.900249
95,447.378555
95,409.673149
95,401.117011
95,392.567391
95,388.217322
95,383.81702
95,351.631419
95,321.98501
95,322.701014
95,313.139262
95,310.767144
95,311.152164
95,301.003478
95,297.325035
95,278.682567
95,278.799579
95,275.37352
95,272.655959
95,261.108533
95,245.109424
95,251.411779
95,238.032279
95,213.407443
95,239.053428
95,210.562167
95,221.195623
95,215.317332
95,214.524008
95,184.372355
95,184.421959
95,178.501994
95,170.743101
95,207.572245
95,155.318434
95,148.731821
95,149.960771
95,148.796725
95,183.853074
95,193.31176
100,574.035143
100,552.595212
100,544.936587
100,568.230047
100,572.802623
100,562.810783
100,552.169114
100,534.084285
100,534.084285
100,540.210811
100,534.619165
100,528.291342
100,529.800336
100,535.709265
100,518.919608
100,513.223344
100,495.838903
100,478.017931
100,436.216604
100,427.9448
100,419.685455
100,415.479571
100,411.222552
100,379.997233
100,345.956712
100,346.641519
100,336.742611
100,339.542567
100,339.927216
100,324.380073
100,321.355477
100,302.732915
100,302.821804
100,298.975126
100,295.883323
100,279.707734
100,268.266218
100,268.702929
100,256.522804
100,236.498753
100,257.351083
100,233.193798
100,239.783648
100,233.572422
100,232.907748
100,205.878196
100,206.33942
100,200.381551
100,192.348477
100,224.795898
100,175.431295
100,169.554875
100,170.69899
100,168.142306
100,200.156693
100,204.701421
100,199.270337
105,562.239444
105,576.83116
105,579.264821
105,580.752606
105,584.623196
105,580.997846
105,568.902577
105,591.262622
105,591.262622
105,577.601763
105,579.05727
105,562.432271
105,571.508368
105,562.68524
105,546.651276
105,541.205478
105,524.566156
105,507.477613
105,461.862207
105,453.894196
105,445.945892
105,441.895487
105,437.793691
105,407.632695
105,369.438767
105,370.089988
105,359.902979
105,367.778423
105,368.160627
105,347.373251
105,345.008106
105,326.500094
105,326.560635
105,322.317402
105,318.870736
105,298.175224
105,291.341986
105,285.916962
105,274.995491
105,259.725767
105,275.626527
105,255.981181
105,258.447662
105,251.940333
105,251.40947
105,227.818227
105,228.703787
105,222.745009
105,214.518962
105,242.30436
105,196.830616
105,191.476452
105,192.523427
